,Breach Type Description_Both,Breach Type Description_Electronic,Breach Type Description_Paper,Breach Type Description_Undefined,Date Reported To OCA,Organization Name,Breach Occur at the Reporting Entity?,MA Residents Affected,SSNBreached,Account Number Breached,Drivers Licenses Breached,Credit Debit Numbers Breached,Provided Credit Monitoring,Data Encrypted,Mobile Device Lost Stolen,Keywords,Organization Categories
7759,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,True,False,False,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7760,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7761,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7762,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7763,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7764,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7765,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7766,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7767,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7768,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7769,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7770,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7771,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7772,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7773,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7774,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7775,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7776,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7777,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,True,False,False,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7778,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7779,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7780,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7781,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,True,False,False,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7782,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7783,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7784,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7785,0.0,1.0,0.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
7786,0.0,0.0,1.0,0.0,2015-07-02,The Cooperative Bank of Cape Cod,False,1.0,False,False,False,True,False,False,False,"['cod', 'cape', 'bank', 'cooperative']",Technology
